"Dataset","N_Patients","CpGs_Matched","Weight_Retained_Pct","Pearson_r","R_Squared","MAE"
"Olympic",295,1784,93.69,0.486,0.236,2.502
"Dvorkin",107,1966,100,0.163,0.026,1.589
"Women Training",40,1966,100,0.182,0.033,4.821
"Salas6",56,1966,100,0.293,0.086,4.38
"Salas12",37,1966,100,0.361,0.131,2.634
"Wang",723,1966,100,0.311,0.097,4.545
"Zhang",24,1966,100,0.338,0.114,5.491
