"Feature","IncMSE"
"EN_Raw_Score",176.65973286301
"McCartney_Score",43.41283865981
"EpiScore_Score",60.6329525369079
"Age",41.6668229765473
"Gender",39.2259460675824
"CellType",35.6363389035652
